sequence,x,y,z,heading,roll,pitch
1568104741514583550,15.018687697891396,-48.33382396698141,0,1.3819690098603117,0,0
1568104741524730202,15.020936847971573,-48.3219835570635,0,1.3841776034005522,0,0
1568104741534791345,15.023161853098767,-48.31012902374191,0,1.3863396533495722,0,0
1568104741544836488,15.025378064341616,-48.298179921612245,0,1.3884711239846235,0,0
1568104741554853052,15.027582643190065,-48.2861517035194,0,1.3905701089116227,0,0
1568104741564664102,15.029736738534078,-48.27426052116746,0,1.3926009934676222,0,0
1568104741574736638,15.031942741664768,-48.261939155654446,0,1.394660774486851,0,0
1568104741584712209,15.034121915745287,-48.249623048089944,0,1.3966760581414719,0,0
1568104741595106457,15.036386524872379,-48.23666974031056,0,1.3987503593436104,0,0
1568104741604844063,15.038502395944116,-48.224423106946865,0,1.4006704410312205,0,0
1568104741614735502,15.040645978362496,-48.211872184721436,0,1.4025983707667464,0,0
1568104741624653373,15.0427894119918,-48.19917533490923,0,1.4045091566476449,0,0
1568104741634803577,15.044976864900029,-48.18606426176466,0,1.406442054734604,0,0
1568104741644729225,15.047109769669712,-48.173128736379766,0,1.4083104785949807,0,0
1568104741654716028,15.049249576951917,-48.159998969789335,0,1.4101691789300257,0,0
1568104741664676206,15.051377350044788,-48.14678951393429,0,1.4120021262353946,0,0
1568104741674766727,15.053526423860164,-48.13329012958681,0,1.4138382972207155,0,0
1568104741684606482,15.055615651328896,-48.12001250170099,0,1.4156091018557424,0,0
1568104741693958883,15.057595423192891,-48.107288183389144,0,1.4172744791857004,0,0
1568104741703892340,15.059691725412323,-48.09366172986848,0,1.4190247640548561,0,0
1568104741714737557,15.06197271843901,-48.078652994273796,0,1.42091428730548,0,0
1568104741725015223,15.064126794206848,-48.06430266542787,0,1.4226847025547789,0,0
1568104741734698874,15.066149553795182,-48.050668372205806,0,1.4243351328245784,0,0
1568104741744531845,15.068196642526061,-48.036711041658265,0,1.4259938040204698,0,0
1568104741754800104,15.070326872678601,-48.02201425547062,0,1.427707733957776,0,0
1568104741764716727,15.072376802273322,-48.00770258295473,0,1.4293456766137267,0,0
1568104741774744492,15.074442263960352,-47.99311216857012,0,1.430985015717006,0,0
1568104741784532533,15.07645103707711,-47.978755533103424,0,1.4325690120449457,0,0
1568104741794889564,15.078568615153744,-47.96344032651658,0,1.4342280274206447,0,0
1568104741804753321,15.080577625920146,-47.94873573381477,0,1.4357920121750494,0,0
1568104741814610261,15.082577635850223,-47.9339252634911,0,1.4373395846782453,0,0
1568104741824586311,15.08459397008169,-47.91881745745961,0,1.438890525875186,0,0
1568104741834768389,15.086643709432964,-47.90327457885403,0,1.4404578716628798,0,0
1568104741844493610,15.088593616419052,-47.88831275882906,0,1.4419404095836972,0,0
1568104741854697193,15.090631076826758,-47.87249254792355,0,1.443480922806968,0,0
1568104741864749632,15.092629888058013,-47.85678379330584,0,1.4449839061394643,0,0
1568104741874876442,15.094634887440549,-47.84083522341345,0,1.4464835012626078,0,0
1568104741884662019,15.09656403163867,-47.825305948469996,0,1.4479189670699493,0,0
1568104741894812031,15.098556308778019,-47.80907541620851,0,1.4493940093245516,0,0
1568104741904636777,15.100476197172057,-47.79324554030324,0,1.4508085415604353,0,0
1568104741914746211,15.102442844879393,-47.7768340258836,0,1.4522506920660283,0,0
1568104741924805882,15.104390780211922,-47.76037925144688,0,1.4536725050917758,0,0
1568104741934708073,15.106299326033634,-47.74406096192372,0,1.455059375122447,0,0
1568104741944739038,15.108223596316792,-47.72740769126625,0,1.4564516586005467,0,0
1568104741954793173,15.11014302721546,-47.710591699578586,0,1.4578346168068073,0,0
1568104741964684259,15.112022164564664,-47.6939267681134,0,1.4591830927278857,0,0
1568104741974929028,15.11395881017656,-47.67653846343848,0,1.4605673850534104,0,0
1568104741986030579,15.116046173216361,-47.65754919379024,0,1.4620534359797785,0,0
1568104741994733858,15.117674338222855,-47.64255520910035,0,1.4632084248527577,0,0
1568104742004610319,15.119513089625375,-47.62542594743375,0,1.4645085915946627,0,0
1568104742014696583,15.121381056687072,-47.607807339541786,0,1.465825015066148,0,0
1568104742024791008,15.12324047583599,-47.590047261980054,0,1.467131186578996,0,0
1568104742034798453,15.125073840820226,-47.57231432585288,0,1.4684151008276185,0,0
1568104742044590589,15.126857998374268,-47.55484132871979,0,1.4696609498094964,0,0
1568104742054714872,15.128692422731866,-47.536648938995576,0,1.4709383626814176,0,0
1568104742064642120,15.130480929735773,-47.51868525377426,0,1.4721805158917378,0,0
1568104742074846119,15.132308652717777,-47.50009115120195,0,1.473446728922003,0,0
1568104742084780535,15.134077628206564,-47.48186178853989,0,1.474667774489647,0,0
1568104742094890065,15.135867212750005,-47.4631829005441,0,1.4758864291312022,0,0
1568104742104637399,15.137582732394046,-47.44505092673962,0,1.4770366687155287,0,0
1568104742114671853,15.139338742684897,-47.42625959712922,0,1.478195930267584,0,0
