sequence,x,y,z,heading,roll,pitch
1517161700782343463,-295.17904540797736,-637.6444601682736,0,1.5347605957816817,0,0
1517161700815035582,-295.17825300317634,-637.6234567291932,0,1.5314742671182453,0,0
1517161700848467931,-295.17734167354934,-637.6011923163898,0,1.528357504651479,0,0
1517161700881682252,-295.1763352837747,-637.5782836716121,0,1.5254819016675067,0,0
1517161700914922431,-295.1752274335708,-637.5545664323251,0,1.5228037836250656,0,0
1517161700948300953,-295.17401374112666,-637.5299514582488,0,1.520297295925871,0,0
1517161700982451162,-295.1726671219641,-637.503935584532,0,1.5179055309861555,0,0
1517161701014800544,-295.17129380082133,-637.47851273072,0,1.5157871205948443,0,0
1517161701046686767,-295.16984721118877,-637.452709556295,0,1.5138276590519264,0,0
1517161701080564770,-295.1682092870987,-637.4244819921835,0,1.5118745002478498,0,0
1517161701113609483,-295.16651153889546,-637.3961392060228,0,1.5100870853936574,0,0
1517161701148351946,-295.16462007326686,-637.3654748779453,0,1.508323306176383,0,0
1517161701181883148,-295.1626911545917,-637.3350352945567,0,1.506724657233027,0,0
1517161701215028314,-295.1606847429129,-637.3041280229639,0,1.5052369617587547,0,0
1517161701248069283,-295.15858609498116,-637.2725053907735,0,1.5038389250295952,0,0
1517161701280739129,-295.15641439164256,-637.2404374440299,0,1.5025341866831259,0,0
1517161701314953405,-295.15403713846695,-637.2059970992572,0,1.501244771182827,0,0
1517161701348443037,-295.15160841138845,-637.1714345397114,0,1.500053780784538,0,0
1517161701381642990,-295.1491013772734,-637.1363362763526,0,1.4989378940860696,0,0
1517161701414924227,-295.14648907190036,-637.1003149870518,0,1.4978798296311473,0,0
1517161701448305565,-295.14376932112395,-637.0633404367312,0,1.4968756138318546,0,0
1517161701481393544,-295.1409751578447,-637.0258527800969,0,1.495933078478678,0,0
1517161701514833669,-295.13805192331716,-636.9871154254262,0,1.4950307044552136,0,0
1517161701548401545,-295.135017204574,-636.9473668895623,0,1.4941725761206397,0,0
1517161701580053868,-295.1320636988237,-636.9090916234123,0,1.4934046355577772,0,0
1517161701615073273,-295.12869211754014,-636.86584244344,0,1.492598910551008,0,0
1517161701648003804,-295.12542219641335,-636.8243052632457,0,1.4918809348728386,0,0
1517161701681846061,-295.1219614272311,-636.7807386000638,0,1.491180874251021,0,0
1517161701714911928,-295.11848195361716,-636.7373073854111,0,1.4905318372660348,0,0
1517161701749260931,-295.11476490010295,-636.6912832601283,0,1.4898921990325986,0,0
1517161701781528868,-295.11117795453686,-636.6472021735162,0,1.4893217090546291,0,0
1517161701814642097,-295.1074013823785,-636.6011119790096,0,1.488765281069798,0,0
1517161701848457313,-295.1034448612423,-636.5531485265813,0,1.488225821260503,0,0
1517161701881127255,-295.09952658833913,-636.5059465149828,0,1.487730834283431,0,0
1517161701914647288,-295.0954086649423,-636.4566317292843,0,1.4872483851960967,0,0
1517161701948459560,-295.0911547100765,-636.4059762498324,0,1.486786518256343,0,0
1517161701981445710,-295.0869078951806,-636.3556739622292,0,1.4863587495872386,0,0
1517161702014716899,-295.08252765556614,-636.3040491398813,0,1.4859490067811054,0,0
1517161702046912385,-295.0781966589273,-636.2532416967089,0,1.485572306597637,0,0
1517161702079812227,-295.07367715779924,-636.2004544373865,0,1.4852065482198367,0,0
1517161702115339050,-295.0686904899942,-636.1424633193919,0,1.4848323436037718,0,0
1517161702148472215,-295.0639404526032,-636.0874508534824,0,1.484501873966181,0,0
1517161702214979935,-295.05411681961795,-635.9743080578962,0,1.4838892306066047,0,0
1517161702248226834,-295.04906164754817,-635.9163827182574,0,1.4836068609877586,0,0
1517161702280840837,-295.04400934162436,-635.8586716359564,0,1.4833444440621344,0,0
1517161702350025076,-295.0329862240187,-635.733322968336,0,1.482832827108429,0,0
1517161702382240339,-295.0277118340829,-635.6735920233723,0,1.48261430992154,0,0
1517161702415031247,-295.02225098664184,-635.6119004481619,0,1.4824040320006289,0,0
1517161702448714105,-295.0165448540549,-635.5475894619167,0,1.4822002696614318,0,0
1517161702481948939,-295.01081863975406,-635.4831958705355,0,1.4820108749952383,0,0
1517161702514965171,-295.00503580291735,-635.4183002925714,0,1.481833727179381,0,0
1517161702548452371,-294.999074593812,-635.3515336679349,0,1.4816648047754875,0,0
1517161702581609249,-294.9930771636173,-635.2844846663261,0,1.4815077949941953,0,0
1517161702648379478,-294.9807132745456,-635.1466102773683,0,1.4812209474027376,0,0
1517161702681528676,-294.9744330339985,-635.076737778348,0,1.4810923516575147,0,0
1517161702714847323,-294.96802591211946,-635.0055530355772,0,1.4809718642297545,0,0
1517161702748332443,-294.96149115933275,-634.9330448926704,0,1.4808592927205853,0,0
1517161702781584078,-294.95490722992423,-634.8600792996201,0,1.4807556378427285,0,0
1517161702814948072,-294.9482062778731,-634.7858995974955,0,1.4806594726421503,0,0
1517161702848858140,-294.9412984897925,-634.7095095610829,0,1.480569480934896,0,0
1517161702881348233,-294.9345881916915,-634.635373308931,0,1.480490315586803,0,0
1517161702914925197,-294.927559166319,-634.5577822706276,0,1.4804154949028057,0,0
1517161702948202082,-294.9204985515792,-634.4799041227958,0,1.480348103757251,0,0
1517161702981277165,-294.91338773647703,-634.4015279957418,0,1.480287551308793,0,0
1517161703014625125,-294.9061244830757,-634.3215229398322,0,1.4802327585538984,0,0
1517161703046951914,-294.8989938737986,-634.2430234283806,0,1.480185433052386,0,0
1517161703080001459,-294.8916125905587,-634.1618048729212,0,1.4801427367923023,0,0
1517161703113767937,-294.88397602102253,-634.0778148672307,0,1.4801048473285083,0,0
1517161703148558211,-294.8760074298056,-633.9902076907482,0,1.480071656162711,0,0
1517161703181729458,-294.86831481535285,-633.9056624392941,0,1.4800453424183901,0,0
1517161703214780827,-294.8605580204894,-633.8204342419948,0,1.480024122185205,0,0
1517161703248025103,-294.8526634455902,-633.7337102774236,0,1.4800076407610379,0,0
1517161703280056612,-294.84496921336745,-633.6492001451044,0,1.4799962201843873,0,0
1517161703314519925,-294.83659488834064,-633.5572298748405,0,1.4799886562845475,0,0
1517161703348812798,-294.8281633753145,-633.4646368482976,0,1.4799858261276166,0,0
1517161703381926890,-294.81992845781014,-633.3742033832516,0,1.479987388469848,0,0
1517161703414718599,-294.81168355789003,-633.2836566984,0,1.4799929563314975,0,0
1517161703448229479,-294.80316526323253,-633.1900996499184,0,1.4800026446143069,0,0
1517161703481185420,-294.7946968788449,-633.0970788826952,0,1.480015986078413,0,0
1517161703514836660,-294.7859566733496,-633.001055956096,0,1.480033383924878,0,0
1517161703548688230,-294.77706958332226,-632.9033984036874,0,1.480054608328762,0,0
1517161703581957050,-294.7682429071314,-632.8063801865601,0,1.4800789870916051,0,0
1517161703614773111,-294.75944655822343,-632.7096675664285,0,1.4801063424658245,0,0
1517161703647369642,-294.7506208748654,-632.6126013780342,0,1.4801366648245549,0,0
1517161703681177338,-294.741374534489,-632.5108720946062,0,1.4801713254290672,0,0
1517161703714691738,-294.7321153322363,-632.4089605058987,0,1.4802088105987792,0,0
1517161703748199611,-294.722765404609,-632.3060057907309,0,1.4802492999356778,0,0
1517161703780151597,-294.71376355784855,-632.206838824264,0,1.4802906263327853,0,0
1517161703814718179,-294.70393060062145,-632.0984626054527,0,1.4803382275351418,0,0
1517161703848538035,-294.69421512568266,-631.9913234844544,0,1.480387619088995,0,0
1517161703881243595,-294.6847305609643,-631.886672726693,0,1.4804379512120782,0,0
1517161703914386393,-294.67502984224393,-631.7795751121015,0,1.4804914520718828,0,0
1517161703948625023,-294.6649140390479,-631.6678256586706,0,1.4805492783380365,0,0
